questions	answers	labels
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？審慎評估之前的財務狀況風險能力醫院承擔財務槓桿操作方式所面臨的風險保單轉頭告知權益的損失除了辦理貸款或者是保單借款需要支付本金利息以外在產品可能發生的相關風險最大可能的損失請問您是否	不確定	0
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝您近期有透過本行投保中國人壽三精彩利率變動型終身受限繳費日期是三年那個保險費要求為了保障您的權益等一下電話服務的內容會全程錄音好請問您同意嗎	是嗎	0
請問您投保時，是否皆由○○消金中心的○○○，在旁邊協助，並由您本人○○○親自簽名，且被保險人之健康告知事項皆由您確認後親自填寫？請問您投保時是否街友北市消金中心的申請楊先生在旁邊協助並由您本人林先生親自簽名車被保險人是健康告知事項先與您確認齁親自填寫	嗎可以	1
與您再次確認上述投保內容和本次貸款並沒有搭售或不當行銷的情形發生，請問是否正確？您再次確認上述的投保內容根本貸款並沒有搭上或不但詳細的情形發生請問是否正確	好	1
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您知道本次購買的中國人壽外幣保險不是存款自行承擔匯率變動的風險車辦理解約將可能只是領回部分保費	他說他提供分期分期會比較	1
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保 險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您在淘寶的時候是否都是我們汐止分行的錢重新在旁邊協助比如說被保險人都是五上漆先生你親自簽名那被保險人健康告知事項與您確認後親自填寫	好	1
您好！這裡是玉山銀行總行保代部/OO分行，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行總行保障部敝姓李要員工編號二零二七一好請問是張先生本人嗎	喔喔嗯	0
感謝您近期透過本行投保○○人壽○○○，繳費年期為O年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝您近期透過本行投保南山人壽幸福安康定期貢獻繳費年紀微蹲叫依照保險法的要求回報張您的權益稍後電話訪問內容將會全程錄音好請問您同意嗎	有說明	1
請問您本次投保繳交保費的資金來源是否為請問本次投保繳保費的資訊來源是否	所以	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否有收到本子購買這兩張都是南山人壽保險不是存款如果辦理解約將可能只能領回部份繳保費	是嗎	0
請問您本次投保繳交保費的資金來源是否為請問一下本次保費的資金來源是否為	需求有有好	1
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您是否有收到本次購買的是中國人壽保險不是存款如果辦理解約像可能只能回部份繳保費	好的請問	1
請問○○消金中心的○○○是否有向您說明產品內容，並確認符合您的需求？中心的李俊豪先生是否向說明產品內容確認符合你的需求	嗎	0
請問您是否知道如果中途部分提領或提前解約，保險公司會依受理當時的保單帳戶價值扣除當年度的解約費用後，再給付給您？請問您是否知道如果中途部分提領或是提醒解約保險公司會受理當時的保單帳戶價值扣除掉當年度的幾月費用後再	本人嗎對對	1
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？事先審慎評估自身的財務狀況風險承受能力另外承擔財務槓桿操作方式所面臨的風險保單轉投保的權益損失辦理貸款或保單借款去支付本金利息外產品可能發生相關風險其實最大可能損失請問您是否	了解了解	1
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？請問您是否已事先審慎評估自身的財務狀況風險程式的能力願意承擔財務財務槓桿操作方式所面臨的風險以及辦理保單轉頭以及辦理保單解約轉頭保持權益損失處辦理貸款或保單借款須知複製本金加利息外還有開產品可能發生相關風險最大可能損失小姐本行人員定位鼓勵或確認你用辦理貸款保單借款保單解約保單中午吃定存解約方式購買保險請問是否已經了解	嗎	0
與您再次確認上述投保內容和本次貸款並沒有搭售或不當行銷的情形發生，請問是否正確？您再次確認上述的投保內容根本貸款並沒有搭上或不但詳細的情形發生請問是否正確	是否為儲蓄對好	1
您好！這裡是玉山銀行總行個金處/OO分行/OO消金中心，敝姓O，員工編號OOOOO，請問是○○○先生/小姐本人嗎？您好這裡是玉山銀行新北市家庭中心敝姓劉員工編號是零六六一四好請問是李慧珍小姐本人嗎	嗯嗯嗯	0
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您在淘寶的時候是否都是由樹林放張裕棋在旁邊協助被保險人都是徐音梅小姐你親自簽名被保險人健康事項與您確認然後親自填寫	嗎對好	1
請問您本次投保繳交保費的資金來源是否為請問本次投保繳保費的資訊來源是否	嗎對好	1
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您知道本次購買的中國人壽外幣保險不是存款自行承擔匯率變動的風險車辦理解約將可能只是領回部分保費	不好意思	0
感謝您近期透過本行投保○○人壽○○○，繳費年期為O年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝您近期透過本行投保南山人壽幸福安康定期貢獻繳費年紀微蹲叫依照保險法的要求回報張您的權益稍後電話訪問內容將會全程錄音好請問您同意嗎	所以	0
與您再次確認上述投保內容和本次貸款並沒有搭售或不當行銷的情形發生，請問是否正確？您再次確認上述投保內容和本質貸款並沒有大受或不當行銷的情形發生請問是否正確	有好	1
請問您是否已事先審慎評估自身財務狀況與風險承受能力，並願承擔因財務槓桿操作方式所面臨的風險及辦理保單解約轉投保之權益損失，除辦理貸款或保單借款需支付本金及利息外，還有該產品可能發生之相關風險及最大可能損失，且本行人員並未鼓勵或勸誘以辦理貸款、保單借款、保單解約/保單終止及定存解約之方式購買保險，請問您是否已瞭解？審慎評估之前的財務狀況風險能力醫院承擔財務槓桿操作方式所面臨的風險保單轉頭告知權益的損失除了辦理貸款或者是保單借款需要支付本金利息以外在產品可能發生的相關風險最大可能的損失請問您是否	阿	0
感謝您近期透過本行投保 ○○人壽○○○，繳費年期為○年/躉繳，依照保險法令的要求，為保障您的權益，稍後電話訪問內容將會全程錄音，請問您同意嗎？感謝您近期有透過本行投保中國人壽三精彩利率變動型終身受限繳費日期是三年那個保險費要求為了保障您的權益等一下電話服務的內容會全程錄音好請問您同意嗎	嗎	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您知道本次購買的南山人壽保險不是存款如果辦理解約這樣可能只能領恢復分期繳保費	欸有	1
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保 險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您投保石油城東分行的林怡辰從旁協助並由您本人親筆簽名嗎對好的那請問呃被保險人健康告知事項也是您本人親自填寫	呃有有有有對對好	1
請問您投保時，是否皆由○○分行的○○○，在旁邊協助，並由要保人○○○及被保險人○○○親自簽名，且被保險人之健康告知事項皆由被保險人確認後親自填寫？請問您在淘寶的時候是否都是由樹林放張裕棋在旁邊協助被保險人都是徐音梅小姐你親自簽名被保險人健康事項與您確認然後親自填寫	什麼意思	0
請問您是否知道本次購買的是○○人壽的保險，不是存款，如果辦理解約將可能只領回部分已繳保費？請問您知道本次購買的中國人壽外幣保險不是存款自行承擔匯率變動的風險車辦理解約將可能只是領回部分保費	什麼意思	0
請問您投保時，是否皆由○○消金中心的○○○，在旁邊協助，並由您本人○○○親自簽名，且被保險人之健康告知事項皆由您確認後親自填寫？請問您投保時是否街友北市消金中心的申請楊先生在旁邊協助並由您本人林先生親自簽名車被保險人是健康告知事項先與您確認齁親自填寫	是	1
